79	てる	98	-0.06019247248139434 
288	ん	107	-0.06013399961311634 
603	さ	60	-0.05319493160330361 
176	れ	56	-0.04808905422444328 
304	区	53	-0.04725499639637519 
120	だろ	57	-0.04222637041184366 
472	さん	42	-0.03949585682163712 
379	って	76	-0.03894426826331849 
140	芝浦	34	-0.03709051925140813 
88	こと	61	-0.0368790155804821 
97	だけ	50	-0.03382348547047222 
305	マンション	49	-0.03315283445980709 
544	より	41	-0.03085959032291529 
604	ビギナー	26	-0.02957028162385313 
485	物件	88	-0.02922904553730655 
158	タワマン	34	-0.02895964194443594 
393	.	23	-0.02620950054605814 
540	スレ	29	-0.02597517022797178 
30	年	46	-0.02488899115736727 
33	・	23	-0.0247567973425333 
45	港	22	-0.0239748855532982 
127	!	15	-0.02360741386188161 
67	見	26	-0.02311068799913094 
407	みたい	24	-0.02027806149845247 
209	駅	51	-0.01945394803292428 
366	なっ	33	-0.0190479206263465 
494	ホームレス	18	-0.01886273295045832 
245	いい	51	-0.01855095933439574 
273	けど	91	-0.01832332821257978 
591	のに	29	-0.01829544663576819 
605	他	29	-0.01814125462317664 
53	良い	25	-0.01783897375656887 
349	その	36	-0.01779263186698176 
486	川	14	-0.01713937163735004 
519	/	16	-0.01703495327525521 
148	ステマ	14	-0.01699880007600375 
295	(	32	-0.01638599955455508 
196	タワー	36	-0.0162018320387533 
428	どこ	21	-0.01608998381348053 
279	話	22	-0.01527650304364305 
65	街	14	-0.01524529730236346 
277	GFT	21	-0.01507397534644223 
276	ポジ	14	-0.01477147065239066 
40	立地	14	-0.01435221452861729 
593	関係	16	-0.0143010258203242 
292	意味	16	-0.01403030702144868 
501	あっ	25	-0.01389198258719077 
535	高層	17	-0.01345786073702643 
440	かも	19	-0.01337081971696533 
25	興味	15	-0.01331208228462857 
139	)	27	-0.01311725710781547 
258	まし	30	-0.01297359963525687 
153	,	17	-0.01290445106204935 
478	...	13	-0.01287424053609409 
201	たら	41	-0.01285169711338333 
178	笑	20	-0.01270758698502172 
354	郊外	14	-0.01270162609628699 
506	気	20	-0.01255925724677592 
438	どう	26	-0.01254501108645161 
68	上	18	-0.01247914267913342 
282	書き込み	15	-0.01243012098674935 
161	検討	36	-0.0124078391353274 
225	宣伝	13	-0.01222859082797332 
160	公園	13	-0.01210752081984426 
247	階	20	-0.01205484255741074 
597	住ん	14	-0.01202925063134832 
86	なる	60	-0.01196212127493581 
559	販売	13	-0.01193456343705211 
437	東京	16	-0.01185651068688047 
83	する	74	-0.01183003930562511 
537	出	15	-0.01182847399099931 
452	一	23	-0.01151718842920075 
327	もの	18	-0.01150912032068 
98	近い	14	-0.01150256653420366 
15	方	51	-0.01144410248105996 
574	とか	33	-0.01129844595638692 
244	じゃ	76	-0.0112332451093164 
426	そんな	15	-0.01105212930245397 
166	日	12	-0.01084586945706457 
400	>	11	-0.01052546850543795 
238	地権者	13	-0.01052162512649458 
99	事実	12	-0.01035181163008183 
418	後	23	-0.01033508553883465 
610	力	8	-0.01014236930545158 
87	下がる	13	-0.01008633896945371 
28	ば	59	-0.01008083541749875 
538	み	14	-0.01007444991345637 
11	無理	11	-0.009910881578815018 
195	高く	17	-0.009834372688889344 
93	沿い	10	-0.009820066543945748 
138	確か	13	-0.009790105059313284 
104	すぎ	13	-0.009751982112325074 
450	350	15	-0.009732039358918351 
601	ほぼ	15	-0.009720269714532761 
609	れる	15	-0.009660742283659625 
427	神田	9	-0.009644448882273112 
24	として	23	-0.009604587320307384 
496	なかっ	15	-0.009584755644456124 
397	悪い	11	-0.00936077428558057 
109	圏	9	-0.00927286172392308 
596	5	29	-0.009250467460317678 
102	行っ	12	-0.00902195983823386 
421	どの	14	-0.008985324172164471 
5	書い	8	-0.008965935411472918 
510	向け	8	-0.008947487739539201 
108	中央	11	-0.008829337601288645 
466	富久	13	-0.008785738351158963 
220	晴海	13	-0.008774315071294093 
10	ください	6	-0.008745227504578772 
302	8	15	-0.008706577692302965 
173	パーク	14	-0.008636903975959773 
212	組	8	-0.008584922468395744 
402	時	13	-0.008581613338829069 
464	できる	17	-0.008562714416736115 
392	本当に	9	-0.008436842877830107 
224	内陸	7	-0.008384856694475272 
554	あそこ	6	-0.008338160705257953 
133	普通	15	-0.008301824350335874 
82	だっ	17	-0.00829568660608943 
1	建つ	8	-0.008272062967399239 
571	否定	6	-0.008153963667589607 
265	わけ	13	-0.008119349345921571 
444	あなた	5	-0.008058810419905391 
9	倍率	8	-0.008057451226281315 
422	言う	15	-0.008033448279857087 
262	まあ	8	-0.007974402400648841 
459	安く	15	-0.007953671975479382 
208	だって	7	-0.007851001587549892 
150	〜	6	-0.00781914401166265 
123	これ	11	-0.007813287750245793 
560	中野	12	-0.007801276932090924 
219	そこ	11	-0.007767131939343106 
333	多い	26	-0.007762635731907875 
507	居	7	-0.007721723539335884 
424	中古	12	-0.007714656342506352 
353	位	18	-0.007708040065438253 
502	下	7	-0.007699875686574508 
564	完売	8	-0.00760805589268082 
408	問題	12	-0.007566954267080012 
419	オレ	6	-0.00745205676573621 
355	しれ	9	-0.007429110317894628 
374	なく	42	-0.007384315154438248 
415	~	16	-0.007357187127727345 
567	要素	7	-0.007291870024095258 
405	徒歩	13	-0.007106081640879653 
398	っけ	7	-0.007051478052330694 
275	m	8	-0.007047014773241146 
484	近	6	-0.007022754668336109 
198	高い	38	-0.007011346955890792 
269	き	13	-0.006968064885233377 
159	どんな	7	-0.006966412931449771 
526	営業	8	-0.006952842116495004 
101	近く	9	-0.006900695992932564 
221	しかも	14	-0.006868359589749922 
